Госномер;Контрагент;Телефон;Дата регистрации;Маршрутов выполнено;Проекты;Статус;На линии;Ставка
Н367КА77;ИП Титов Г.;+7976*******;26.06.2026;615;Озон;active;да;4500
Н308НН77;ИП Титов Г.;+7981*******;12.02.2026;412;Х5 Retail, ВкусВилл, Озон;active;да;3200
С850МЕ177;ИП Егоров В.;+7993*******;25.02.2026;542;ВкусВилл, Лемана Про;active;да;3100
Т621КВ178;ООО «ЧастникТранс»;+7951*******;09.05.2026;49;Х5 Retail, ВкусВилл, Самокат;active;да;3000
Т704ОТ797;ИП Кузнецов Д.М.;+7981*******;08.01.2026;578;ВкусВилл;soon;нет;4600
В440РР777;ИП Морозов К.;+7917*******;08.02.2026;281;Озон;active;да;3200
Н805ВВ797;ИП Волков Р.;+7923*******;19.04.2026;176;Магнит, Озон, Лемана Про;active;да;4600
У481ТО99;ИП Волков Р.;+7969*******;14.01.2026;536;Х5 Retail, Магнит, ВкусВилл;active;нет;2600
Е461ХВ797;ИП Титов Г.;+7975*******;01.05.2026;90;Самокат;active;да;2400
О696НВ197;ИП Кузнецов Д.М.;+7979*******;05.06.2026;48;Озон, ВкусВилл, Х5 Retail;active;да;4400
К414СВ178;ИП Волков Р.;+7973*******;29.04.2026;40;Магнит, ВкусВилл;active;да;3400
С953СР199;ИП Егоров В.;+7920*******;03.06.2026;589;Озон, Магнит;active;нет;3300
С405АВ99;ИП Морозов К.;+7985*******;26.07.2026;411;Самокат, Х5 Retail, ВкусВилл;end;нет;4400
Х094УО777;ООО «ЧастникТранс»;+7936*******;20.08.2026;201;Озон, Х5 Retail;active;да;3000
В626АК197;ИП Егоров В.;+7939*******;26.08.2026;297;Лемана Про;active;да;4500
К834НА197;ИП Волков Р.;+7977*******;10.04.2026;535;Лемана Про, Х5 Retail, Магнит;active;да;3200
С077КС99;ИП Волков Р.;+7931*******;26.05.2026;352;Озон;active;да;3700
В860КК197;ООО «ЧастникТранс»;+7974*******;10.01.2026;319;Самокат;soon;да;3900
М151УТ199;ИП Орлов В.;+7963*******;18.05.2026;76;Озон, Магнит, Самокат;soon;да;3400
Х583ЕВ177;ИП Егоров В.;+7922*******;02.02.2026;593;Самокат, Лемана Про, Озон;active;да;2400
Т675ХТ197;ИП Титов Г.;+7922*******;08.08.2026;442;Озон, ВкусВилл, Лемана Про;active;да;2600
М872ОС777;ИП Орлов В.;+7959*******;17.09.2026;530;Х5 Retail, Магнит;end;нет;4000
У761СУ99;ООО «ЧастникТранс»;+7990*******;14.07.2026;389;Х5 Retail, Самокат;active;да;4300
Т939ХУ797;ИП Кузнецов Д.М.;+7967*******;08.05.2026;537;Озон, ВкусВилл, Самокат;soon;да;3500
В826ХЕ177;ИП Кузнецов Д.М.;+7963*******;24.03.2026;601;Лемана Про;active;нет;2800
Т791ТХ177;ООО «ЧастникТранс»;+7945*******;29.05.2026;349;Самокат;soon;да;2900
Е327НВ99;ИП Кузнецов Д.М.;+7959*******;29.03.2026;508;Магнит;active;да;3000
У977ЕН777;ИП Орлов В.;+7930*******;28.05.2026;239;Озон, Самокат, ВкусВилл;active;да;2700
Р206НС178;ИП Волков Р.;+7932*******;06.01.2026;318;Лемана Про;end;нет;3500
Е473ТУ797;ИП Титов Г.;+7974*******;30.08.2026;443;Самокат;soon;да;4400
О262ТА197;ИП Орлов В.;+7955*******;06.06.2026;122;Озон;active;да;2400
Р382АН177;ИП Титов Г.;+7988*******;16.01.2026;26;ВкусВилл, Лемана Про;active;нет;3700
